dataset,recording_id,audio_duration_sec,G1-A_status,G1-A_DER,G1-B_status,G1-B_DER,G2-A_status,G2-A_DER,G3-A_status,G3-A_DER,G2-B_status,G2-B_DER,G4-A_status,G4-A_DER,G4-B_status,G4-B_DER,G3-B_status,G3-B_DER
ami,TS3003c,2570.0,success,0.3053,success,0.3056,success,0.1334,success,0.3889,success,0.2693,success,0.1603,success,0.1991,success,0.7814
ami,TS3003d,2618.2,success,0.3498,success,0.3627,success,0.2108,success,0.3374,success,0.3307,success,0.2471,success,0.3356,success,0.5145
bangor_miami_eng,herring01,1938.467063,success,0.358,success,0.3848,success,0.2881,success,0.1955,success,0.4879,success,0.2229,success,0.2131,success,0.2933
bangor_miami_eng,herring06,1694.849,success,0.423,success,0.4253,success,0.3148,success,0.3629,success,0.5394,success,0.2467,success,0.1731,success,0.2816
bangor_miami_eng,herring07,1493.0,success,0.259,success,0.2877,success,0.2884,success,0.2291,success,0.306,success,0.2252,success,0.2158,success,0.472
bangor_miami_eng,herring08,1783.8325,success,0.377,success,0.4011,success,0.2909,success,0.4161,success,0.3688,success,0.3017,success,0.3142,success,0.3277
bangor_miami_eng,herring09,1959.91175,success,0.2999,success,0.5099,success,0.219,success,0.2875,success,0.4691,success,0.2257,success,0.4084,success,0.4591
bangor_miami_eng,herring10,1811.4825,success,0.5285,success,0.5452,success,0.5325,success,0.5171,success,0.6565,success,0.5339,success,0.4037,success,0.5599
bangor_miami_eng,herring13,1793.648938,success,0.5133,success,0.5403,success,0.4925,success,0.6617,success,0.6846,success,0.4413,success,0.4464,success,0.6699
bangor_miami_eng,herring15,1793.659438,success,0.3734,success,0.3734,success,0.1918,success,0.1869,success,0.5804,success,0.2219,success,0.1439,success,0.1836
bangor_miami_eng,herring16,1851.051625,success,0.7404,success,0.8036,success,0.5831,success,0.6392,success,0.7207,success,0.584,success,0.5008,success,0.6816
bangor_miami_eng,herring17,1798.4585,success,0.2907,success,0.307,success,0.1696,success,0.1667,success,0.281,success,0.3019,success,0.2448,success,0.2532
bangor_miami_eng,sastre03,2582.229688,success,0.4545,success,0.5096,success,0.4093,success,0.3113,success,0.6428,success,0.9714,success,0.5038,success,0.4832
bangor_miami_eng,sastre04,1886.770813,success,0.4212,success,0.4328,success,0.3691,success,0.4024,success,0.5483,success,0.4248,success,0.2645,success,0.48
bangor_miami_eng,sastre06,1820.091188,success,0.2394,success,0.249,success,0.1383,success,0.1943,success,0.2785,success,0.176,success,0.1525,success,0.1366
bangor_miami_eng,sastre07,1798.151,success,0.5036,success,0.531,success,0.472,success,0.6365,success,0.6899,success,0.4758,success,0.4174,success,0.5952
bangor_miami_eng,sastre08,2000.011875,success,0.2551,success,0.2756,success,0.2589,success,0.288,success,0.3309,success,0.2287,success,0.1813,success,0.2531
bangor_miami_eng,sastre09,2402.10975,success,0.3757,success,0.3856,success,0.3376,success,0.3221,success,0.3858,success,0.4456,success,0.3544,success,0.3109
bangor_miami_eng,sastre10,2365.4355,success,0.3305,success,0.3563,success,0.2894,success,0.4583,success,0.415,success,0.4626,success,0.4432,success,0.2806
bangor_miami_eng,sastre11,2425.290938,success,0.2558,success,0.2963,success,0.2205,success,0.2761,success,0.3444,success,0.2423,success,0.2186,success,0.1963
bangor_miami_eng,sastre12,1858.724,success,0.3233,success,0.3376,success,0.2285,success,0.271,success,0.4785,success,0.3107,success,0.1879,success,0.3367
bangor_miami_eng,sastre13,1782.5745,success,0.237,success,0.2514,success,0.1857,success,0.1943,success,0.3788,success,0.245,success,0.158,success,0.2737
bangor_miami_eng,zeledon02,1613.878,success,0.3965,success,0.406,success,0.2631,success,0.259,success,0.6695,success,0.2919,success,0.2437,success,0.277
bangor_miami_eng,zeledon03,1825.237313,success,0.3019,success,0.3178,success,0.2418,success,0.3525,success,0.3987,success,0.3148,success,0.1629,success,0.2327
bangor_miami_eng,zeledon04,1308.862438,success,0.3913,success,0.4131,success,0.3583,success,0.3517,success,0.4213,success,0.3424,success,0.2749,success,0.3141
bangor_miami_eng,zeledon06,1825.985938,success,0.3206,success,0.3322,success,0.2717,success,0.277,success,0.4945,success,0.2898,success,0.8978,success,0.3338
bangor_miami_eng,zeledon08,2273.337813,success,0.3842,success,0.4116,success,0.2875,success,0.2025,success,0.4611,success,0.6811,success,0.2953,success,0.2916
bangor_miami_eng,zeledon09,1851.628563,success,0.27,success,0.271,success,0.222,success,0.2214,success,0.419,success,0.1398,success,0.1228,success,0.2531
bangor_miami_eng,zeledon11,1843.126563,success,0.324,success,0.3142,success,0.3167,success,0.3572,success,0.445,success,0.2528,success,0.1872,success,0.296
bangor_miami_eng,zeledon13,2082.852563,success,0.2278,success,0.2403,success,0.2088,success,0.2728,success,0.3242,success,0.2813,success,0.1181,success,0.2355
playlogue,ew_42ec_11023,845.740438,success,0.7125,success,0.6979,success,0.5543,success,0.5446,success,0.6769,success,0.5191,success,0.5653,success,0.7831
playlogue,ew_42ec_12007,890.334,success,0.5685,success,0.5885,success,0.5324,success,0.4766,success,0.6232,success,0.5188,success,0.4929,success,0.6535
playlogue,ew_42ec_12014,867.918375,success,0.7905,success,0.8051,success,0.6612,success,0.6143,success,0.8115,success,0.5973,success,0.7919,success,0.8603
playlogue,ew_42ec_12029,756.729,success,0.6888,success,0.765,success,0.5296,success,0.4731,success,0.7553,success,0.4521,success,0.5237,success,0.8883
playlogue,ew_42ec_22118,737.438,success,0.8886,success,0.9177,success,0.6612,success,0.7198,success,0.8913,success,0.6144,success,0.8076,success,1.1436
playlogue,ew_42ec_22120,937.22125,success,0.7019,success,0.7746,success,0.543,success,0.496,success,0.8112,success,0.4471,success,0.4986,success,0.7859
playlogue,ew_42ec_22128,592.731,success,0.6996,success,0.6618,success,0.5945,success,0.6332,success,0.6663,success,0.5312,success,0.5765,success,0.8881
playlogue,ew_42ec_22148,654.498,success,0.8616,success,0.894,success,0.7359,success,0.6756,success,0.8012,success,0.6594,success,0.7338,success,1.171
playlogue,ew_42pc_11023,993.567375,success,0.9447,success,0.8984,success,0.7314,success,0.6543,success,0.8754,success,0.6342,success,0.7321,success,0.8418
playlogue,ew_42pc_12007,525.609813,success,0.5639,success,0.5967,success,0.5196,success,0.4758,success,0.619,success,0.4459,success,0.5187,success,0.6145
playlogue,ew_42pc_12014,589.478,success,0.7827,success,0.8881,success,0.5725,success,0.554,success,0.926,success,0.4819,success,0.8872,success,0.9176
playlogue,ew_42pc_12029,1036.016313,success,0.6253,success,0.6443,success,0.487,success,0.5347,success,0.7125,success,0.4603,success,0.637,success,0.5856
playlogue,ew_42pc_22118,750.994313,success,0.8579,success,0.9081,success,0.5812,success,0.578,success,0.8957,success,0.5442,success,0.5661,success,0.9817
playlogue,ew_42pc_22120,742.138813,success,0.7492,success,0.7259,success,0.5151,success,0.5567,success,0.8257,success,0.5194,success,0.5423,success,0.6354
playlogue,ew_42pc_22128,496.874063,success,0.9206,success,1.0033,success,0.8856,success,0.8934,success,0.9864,success,0.8792,success,0.9092,success,1.0638
playlogue,ew_42pc_22148,787.848,success,0.6767,success,0.7248,success,0.5645,success,0.5318,success,0.84,success,0.4697,success,0.5059,success,0.8042
playlogue,ew_54ec_11023,936.90775,success,0.8193,success,0.7584,success,0.6368,success,0.5826,success,0.8002,success,0.5626,success,0.5753,success,0.9021
playlogue,ew_54ec_12007,1085.570625,success,0.5931,success,0.621,success,0.5406,success,0.5247,success,0.5975,success,0.4616,success,0.5316,success,0.8804
playlogue,ew_54ec_12014,598.3565,success,0.8557,success,0.8115,success,0.692,success,0.6726,success,0.787,success,0.6595,success,0.7002,success,1.1425
playlogue,ew_54ec_12029,1059.9445,success,0.6922,success,0.8974,success,0.5317,success,0.5489,success,0.6608,success,0.4912,success,0.5429,success,0.9648
playlogue,ew_54ec_22118,1238.261,success,0.6555,success,0.6619,success,0.5548,success,0.554,success,0.6325,success,0.6035,success,0.6054,success,0.8236
playlogue,ew_54ec_22120,832.3135,success,0.7859,success,0.7403,success,0.6034,success,0.6247,success,0.7257,success,0.5797,success,0.6156,success,0.8591
playlogue,ew_54ec_22128,551.758375,success,0.6762,success,0.717,success,0.5652,success,0.5351,success,0.7448,success,0.4969,success,0.518,success,0.8357
playlogue,ew_54ec_22148,799.971,success,0.5812,success,0.577,success,0.4506,success,0.4654,success,0.5316,success,0.4959,success,0.5268,success,0.728
playlogue,gleason_father_david,185.069,success,0.8696,success,0.8877,success,0.655,success,0.7115,success,0.7856,success,0.6929,success,0.7631,success,1.4874
playlogue,gleason_father_helen,1656.886,success,0.6442,success,0.6932,success,0.4579,success,0.4908,success,0.6435,success,0.4542,success,0.519,success,0.5517
playlogue,gleason_father_isadora,1948.785,success,0.8702,success,0.8606,success,0.517,success,0.5056,success,0.7996,success,0.4728,success,0.5187,success,0.5382
playlogue,gleason_mother_david,1812.79,success,0.5678,success,0.5877,success,0.571,success,0.4728,success,0.6046,success,0.3854,success,0.8985,success,0.6172
playlogue,gleason_mother_helen,1964.578,success,0.6325,success,0.6642,success,0.4675,success,0.4351,success,0.6575,success,0.3825,success,0.4566,success,0.7327
playlogue,gleason_mother_isadora,343.049,success,0.607,success,0.6458,success,0.5733,success,0.4512,success,0.7936,success,0.3916,success,0.4399,success,0.5829
playlogue,vh_eastf,439.336,success,0.6099,success,0.8172,success,0.5942,success,0.455,success,0.6544,success,0.4085,success,0.4989,success,0.7864
playlogue,vh_huntf,617.603,success,0.7783,success,0.7863,success,0.8181,success,0.5818,success,0.692,success,0.5983,success,0.7548,success,0.8407
playlogue,vh_riotf,342.016,success,0.7661,success,0.8528,success,0.7388,success,0.5708,success,0.749,success,0.4958,success,0.4838,success,0.8263
playlogue,vh_skipf,565.545,success,0.715,success,0.6938,success,0.704,success,0.5727,success,0.6937,success,0.5573,success,0.6575,success,0.8907
