corpus,recording_id,model,ref_speakers,hyp_speakers,DER_collar0.0,miss_collar0.0_sec,falsealarm_collar0.0_sec,confusion_collar0.0_sec,total_ref_collar0.0_sec,DER_collar0.25,miss_collar0.25_sec,falsealarm_collar0.25_sec,confusion_collar0.25_sec,total_ref_collar0.25_sec,JER
afrispeech_dialog,58efe9ef-6c76-4d17-b1b2-f397552a0c0e,G4-A OpenMOSS-Team/MOSS-Transcribe-Diarize,2,2,0.7443,19.88,36.89,70.59,171.1,0.7054,17.98,28.03,63.17,154.78,0.72
afrispeech_dialog,6d5f1e84-dbc5-42d3-898e-bfe9c2cfe166,G1-A NeMo MarbleNet+TitaNet+spectral,2,2,0.344,13.26,30.72,13.9,168.24,0.292,12.56,22.38,9.52,152.28,0.3794
afrispeech_dialog,6d5f1e84-dbc5-42d3-898e-bfe9c2cfe166,G1-B MarbleNet VAD + VBx,2,2,0.3516,13.26,30.72,15.18,168.24,0.2976,12.56,22.38,10.36,152.28,0.3897
afrispeech_dialog,6d5f1e84-dbc5-42d3-898e-bfe9c2cfe166,G2-A pyannote community-1,2,2,0.3979,22.72,31.64,12.59,168.24,0.3505,20.36,24.44,8.58,152.28,0.4161
afrispeech_dialog,6d5f1e84-dbc5-42d3-898e-bfe9c2cfe166,G2-B NeMo diar_msdd_telephonic,2,2,0.407,18.85,38.42,11.19,168.24,0.3456,17.55,27.56,7.51,152.28,0.4009
afrispeech_dialog,6d5f1e84-dbc5-42d3-898e-bfe9c2cfe166,G3-A nvidia/diar_streaming_sortformer_4spk-v2.1,2,2,0.4029,19.56,32.63,15.59,168.24,0.3557,17.69,25.49,10.98,152.28,0.4295
afrispeech_dialog,6d5f1e84-dbc5-42d3-898e-bfe9c2cfe166,G4-A OpenMOSS-Team/MOSS-Transcribe-Diarize,2,2,0.693,12.9,31.8,71.89,168.24,0.6558,11.48,23.58,64.8,152.28,0.748
afrispeech_dialog,78fb7265-0373-49d5-b933-c28c95cf3eea,G1-A NeMo MarbleNet+TitaNet+spectral,2,3,0.3823,61.88,169.38,25.5,671.54,0.3472,55.63,141.94,21.65,631.45,0.2944
afrispeech_dialog,78fb7265-0373-49d5-b933-c28c95cf3eea,G1-B MarbleNet VAD + VBx,2,3,0.4454,61.88,169.38,67.88,671.54,0.4087,55.63,141.94,60.51,631.45,0.3314
afrispeech_dialog,78fb7265-0373-49d5-b933-c28c95cf3eea,G2-A pyannote community-1,2,2,0.303,122.42,78.12,2.95,671.54,0.2692,109.04,58.59,2.35,631.45,0.2839
afrispeech_dialog,78fb7265-0373-49d5-b933-c28c95cf3eea,G2-B NeMo diar_msdd_telephonic,2,3,0.3677,97.27,132.56,17.1,671.54,0.3333,87.77,107.56,15.12,631.45,0.3017
afrispeech_dialog,78fb7265-0373-49d5-b933-c28c95cf3eea,G3-A nvidia/diar_streaming_sortformer_4spk-v2.1,2,3,0.3354,141.68,79.99,3.54,671.54,0.3016,127.22,60.77,2.45,631.45,0.3105
afrispeech_dialog,78fb7265-0373-49d5-b933-c28c95cf3eea,G4-A OpenMOSS-Team/MOSS-Transcribe-Diarize,2,2,0.8342,141.17,182.83,236.2,671.54,0.8083,130.9,157.84,221.69,631.45,0.7693
afrispeech_dialog,9c876e95-8e06-491c-892b-1d0163cbcc50,G1-A NeMo MarbleNet+TitaNet+spectral,2,2,0.095,4.72,0.82,33.39,409.99,0.0793,4.34,0.7,26.28,394.99,0.1865
afrispeech_dialog,9c876e95-8e06-491c-892b-1d0163cbcc50,G1-B MarbleNet VAD + VBx,2,2,0.0947,4.72,0.82,33.27,409.99,0.0798,4.34,0.7,26.5,394.99,0.1858
afrispeech_dialog,9c876e95-8e06-491c-892b-1d0163cbcc50,G2-A pyannote community-1,2,2,0.1535,40.99,0.48,21.47,409.99,0.1364,37.44,0.35,16.08,394.99,0.222
afrispeech_dialog,9c876e95-8e06-491c-892b-1d0163cbcc50,G2-B NeMo diar_msdd_telephonic,2,2,0.133,24.36,7.07,23.09,409.99,0.1175,22.8,6.35,17.25,394.99,0.1974
afrispeech_dialog,9c876e95-8e06-491c-892b-1d0163cbcc50,G3-A nvidia/diar_streaming_sortformer_4spk-v2.1,2,2,0.1439,35.92,0.79,22.28,409.99,0.1281,33.05,0.67,16.89,394.99,0.21
afrispeech_dialog,9c876e95-8e06-491c-892b-1d0163cbcc50,G4-A OpenMOSS-Team/MOSS-Transcribe-Diarize,2,2,0.3639,13.94,1.03,134.24,409.99,0.3581,13.4,0.91,127.13,394.99,0.5718
afrispeech_dialog,9d1962f3-e879-452d-b57b-cf4a7f133cd8,G1-A NeMo MarbleNet+TitaNet+spectral,2,1,0.4121,7.7,69.54,76.53,373.11,0.3622,7.15,52.01,66.96,348.26,0.6725
afrispeech_dialog,9d1962f3-e879-452d-b57b-cf4a7f133cd8,G1-B MarbleNet VAD + VBx,2,2,0.3295,7.7,69.54,45.7,373.11,0.2763,7.16,52.01,37.06,348.26,0.4432
afrispeech_dialog,9d1962f3-e879-452d-b57b-cf4a7f133cd8,G2-A pyannote community-1,2,2,0.4313,30.95,60.66,69.32,373.11,0.3855,28.33,45.33,60.58,348.26,0.6765
afrispeech_dialog,9d1962f3-e879-452d-b57b-cf4a7f133cd8,G2-B NeMo diar_msdd_telephonic,2,2,0.3286,27.0,77.89,17.71,373.11,0.2776,25.04,59.55,12.1,348.26,0.3625
afrispeech_dialog,9d1962f3-e879-452d-b57b-cf4a7f133cd8,G3-A nvidia/diar_streaming_sortformer_4spk-v2.1,2,3,0.3515,61.56,51.23,18.35,373.11,0.312,56.85,38.7,13.11,348.26,0.3935
afrispeech_dialog,9d1962f3-e879-452d-b57b-cf4a7f133cd8,G4-A OpenMOSS-Team/MOSS-Transcribe-Diarize,2,2,0.5201,21.99,65.86,106.2,373.11,0.4742,20.54,48.98,95.63,348.26,0.6293
afrispeech_dialog,ab8fd39d-52bc-48fa-bae9-ff636627f1e5,G1-A NeMo MarbleNet+TitaNet+spectral,2,2,0.3198,46.34,33.52,12.2,287.89,0.2839,42.63,25.35,9.11,271.53,0.3337
afrispeech_dialog,ab8fd39d-52bc-48fa-bae9-ff636627f1e5,G1-B MarbleNet VAD + VBx,2,2,0.3107,46.34,33.52,9.6,287.89,0.2752,42.63,25.35,6.74,271.53,0.319
afrispeech_dialog,ab8fd39d-52bc-48fa-bae9-ff636627f1e5,G2-A pyannote community-1,2,2,0.2539,20.83,43.59,8.68,287.89,0.2135,18.38,33.51,6.08,271.53,0.2525
afrispeech_dialog,ab8fd39d-52bc-48fa-bae9-ff636627f1e5,G2-B NeMo diar_msdd_telephonic,2,2,0.4227,92.45,19.6,9.64,287.89,0.3944,85.66,13.71,7.72,271.53,0.472
afrispeech_dialog,ab8fd39d-52bc-48fa-bae9-ff636627f1e5,G3-A nvidia/diar_streaming_sortformer_4spk-v2.1,2,4,0.3656,40.83,36.42,28.01,287.89,0.3321,37.69,28.01,24.48,271.53,0.3514
afrispeech_dialog,ab8fd39d-52bc-48fa-bae9-ff636627f1e5,G4-A OpenMOSS-Team/MOSS-Transcribe-Diarize,2,2,0.6627,45.62,46.81,98.36,287.89,0.6373,43.58,37.85,91.63,271.53,0.684
afrispeech_dialog,b05dc1f2-874e-4fd1-a613-d3187f4c2293,G1-A NeMo MarbleNet+TitaNet+spectral,2,3,0.3022,18.97,0.81,71.8,303.01,0.2885,18.42,0.69,63.54,286.51,0.4692
afrispeech_dialog,b05dc1f2-874e-4fd1-a613-d3187f4c2293,G1-B MarbleNet VAD + VBx,2,2,0.2723,18.97,0.81,62.72,303.01,0.2573,18.42,0.69,54.6,286.51,0.4493
afrispeech_dialog,b05dc1f2-874e-4fd1-a613-d3187f4c2293,G2-A pyannote community-1,2,2,0.3641,63.8,4.96,41.56,303.01,0.3488,60.07,4.83,35.04,286.51,0.4983
afrispeech_dialog,b05dc1f2-874e-4fd1-a613-d3187f4c2293,G2-B NeMo diar_msdd_telephonic,2,2,0.393,70.16,3.73,45.19,303.01,0.3808,67.35,3.39,38.36,286.51,0.5243
afrispeech_dialog,b05dc1f2-874e-4fd1-a613-d3187f4c2293,G3-A nvidia/diar_streaming_sortformer_4spk-v2.1,2,3,0.4002,74.4,3.42,43.43,303.01,0.3868,70.83,3.3,36.71,286.51,0.5257
afrispeech_dialog,b05dc1f2-874e-4fd1-a613-d3187f4c2293,G4-A OpenMOSS-Team/MOSS-Transcribe-Diarize,2,2,0.4554,39.77,1.02,97.21,303.01,0.4489,37.58,0.9,90.14,286.51,0.6502
afrispeech_dialog,b6f48ed7-e629-4e50-af63-1c9067c34ef2,G1-A NeMo MarbleNet+TitaNet+spectral,2,2,0.3411,7.0,34.52,18.05,174.66,0.2847,5.26,26.95,12.35,156.52,0.4419
afrispeech_dialog,b6f48ed7-e629-4e50-af63-1c9067c34ef2,G1-B MarbleNet VAD + VBx,2,2,0.3456,7.0,34.52,18.85,174.66,0.2941,5.26,26.95,13.82,156.52,0.4904
afrispeech_dialog,b6f48ed7-e629-4e50-af63-1c9067c34ef2,G2-A pyannote community-1,2,2,0.4051,18.73,27.01,25.01,174.66,0.3561,15.43,20.94,19.36,156.52,0.5665
afrispeech_dialog,b6f48ed7-e629-4e50-af63-1c9067c34ef2,G2-B NeMo diar_msdd_telephonic,2,2,0.3743,15.52,34.61,15.25,174.66,0.3153,12.48,26.82,10.06,156.52,0.459
afrispeech_dialog,b6f48ed7-e629-4e50-af63-1c9067c34ef2,G3-A nvidia/diar_streaming_sortformer_4spk-v2.1,2,2,0.3963,26.96,27.02,15.24,174.66,0.3475,23.02,21.13,10.24,156.52,0.4931
afrispeech_dialog,b6f48ed7-e629-4e50-af63-1c9067c34ef2,G4-A OpenMOSS-Team/MOSS-Transcribe-Diarize,2,2,0.6683,31.63,36.36,48.74,174.66,0.6356,29.12,28.5,41.86,156.52,0.7283
afrispeech_dialog,b9ffbd7f-d6a5-4511-a7aa-b1e0b52dfc03,G1-A NeMo MarbleNet+TitaNet+spectral,2,2,0.2596,25.09,45.67,7.37,300.93,0.224,23.17,36.11,4.81,286.07,0.2413
afrispeech_dialog,b9ffbd7f-d6a5-4511-a7aa-b1e0b52dfc03,G1-B MarbleNet VAD + VBx,2,2,0.2608,25.09,45.67,7.73,300.93,0.2247,23.17,36.11,4.99,286.07,0.2432
afrispeech_dialog,b9ffbd7f-d6a5-4511-a7aa-b1e0b52dfc03,G2-A pyannote community-1,2,2,0.2235,37.03,26.09,4.16,300.93,0.1897,32.36,19.07,2.83,286.07,0.2165
afrispeech_dialog,b9ffbd7f-d6a5-4511-a7aa-b1e0b52dfc03,G2-B NeMo diar_msdd_telephonic,2,2,0.3105,60.09,28.63,4.72,300.93,0.2794,55.08,21.75,3.1,286.07,0.2934
afrispeech_dialog,b9ffbd7f-d6a5-4511-a7aa-b1e0b52dfc03,G3-A nvidia/diar_streaming_sortformer_4spk-v2.1,2,2,0.2321,36.91,28.51,4.42,300.93,0.1988,32.18,21.76,2.92,286.07,0.2232
afrispeech_dialog,b9ffbd7f-d6a5-4511-a7aa-b1e0b52dfc03,G4-A OpenMOSS-Team/MOSS-Transcribe-Diarize,2,2,0.6113,61.4,49.19,73.37,300.93,0.5797,59.14,38.9,67.8,286.07,0.6071
afrispeech_dialog,bbc98b6e-f165-4475-b0b3-8e25ab259323,G1-A NeMo MarbleNet+TitaNet+spectral,2,2,0.2464,2.14,1.02,49.57,214.03,0.2212,2.11,0.9,40.14,195.03,0.4204
afrispeech_dialog,bbc98b6e-f165-4475-b0b3-8e25ab259323,G1-B MarbleNet VAD + VBx,2,2,0.2494,2.14,1.02,50.21,214.03,0.2238,2.11,0.9,40.65,195.03,0.4275
afrispeech_dialog,bbc98b6e-f165-4475-b0b3-8e25ab259323,G2-A pyannote community-1,2,2,0.3614,32.86,1.35,43.14,214.03,0.3447,31.08,1.12,35.03,195.03,0.5361
afrispeech_dialog,bbc98b6e-f165-4475-b0b3-8e25ab259323,G2-B NeMo diar_msdd_telephonic,2,2,0.2767,9.85,10.8,38.56,214.03,0.2521,9.72,9.26,30.18,195.03,0.4052
afrispeech_dialog,bbc98b6e-f165-4475-b0b3-8e25ab259323,G3-A nvidia/diar_streaming_sortformer_4spk-v2.1,2,2,0.2992,35.12,1.03,27.88,214.03,0.2735,31.82,0.9,20.63,195.03,0.4194
afrispeech_dialog,bbc98b6e-f165-4475-b0b3-8e25ab259323,G4-A OpenMOSS-Team/MOSS-Transcribe-Diarize,2,2,0.5395,27.33,0.94,87.19,214.03,0.5353,24.33,0.9,79.18,195.03,0.712
afrispeech_dialog,c2e43333-258a-457e-80b8-5a1eb79baf02,G1-A NeMo MarbleNet+TitaNet+spectral,2,3,0.2978,41.59,1.02,51.79,316.99,0.2848,39.67,0.9,45.3,301.49,0.3805
afrispeech_dialog,c2e43333-258a-457e-80b8-5a1eb79baf02,G1-B MarbleNet VAD + VBx,2,2,0.2581,41.59,1.02,39.21,316.99,0.2429,39.67,0.9,32.65,301.49,0.3508
afrispeech_dialog,c2e43333-258a-457e-80b8-5a1eb79baf02,G2-A pyannote community-1,2,2,0.3784,96.32,0.94,22.68,316.99,0.3667,92.47,0.82,17.27,301.49,0.4265
afrispeech_dialog,c2e43333-258a-457e-80b8-5a1eb79baf02,G2-B NeMo diar_msdd_telephonic,2,2,0.4246,111.86,1.31,21.43,316.99,0.4144,107.39,1.19,16.36,301.49,0.4494
afrispeech_dialog,c2e43333-258a-457e-80b8-5a1eb79baf02,G3-A nvidia/diar_streaming_sortformer_4spk-v2.1,2,2,0.3223,82.56,0.7,18.92,316.99,0.3075,78.53,0.58,13.62,301.49,0.3636
afrispeech_dialog,c2e43333-258a-457e-80b8-5a1eb79baf02,G4-A OpenMOSS-Team/MOSS-Transcribe-Diarize,2,2,0.5967,74.89,1.02,113.24,316.99,0.5942,70.55,0.9,107.7,301.49,0.7304
afrispeech_dialog,d3550502-5ae7-4314-8a21-036d488cd8d6,G1-A NeMo MarbleNet+TitaNet+spectral,2,2,0.2598,21.1,0.06,35.46,217.96,0.2349,18.54,0.0,28.29,199.4,0.3642
afrispeech_dialog,d3550502-5ae7-4314-8a21-036d488cd8d6,G1-B MarbleNet VAD + VBx,2,2,0.2633,21.1,0.06,36.22,217.96,0.2383,18.54,0.0,28.96,199.4,0.3689
afrispeech_dialog,d3550502-5ae7-4314-8a21-036d488cd8d6,G2-A pyannote community-1,2,2,0.3183,37.24,2.14,29.99,217.96,0.2922,32.69,1.82,23.75,199.4,0.3986
afrispeech_dialog,d3550502-5ae7-4314-8a21-036d488cd8d6,G2-B NeMo diar_msdd_telephonic,2,2,0.2957,30.52,2.81,31.13,217.96,0.2696,27.09,2.38,24.29,199.4,0.3801
