model,Absolute DER,False Alarm Rate,Missed Detection Rate,Confusion Rate
assemblyai,0.07058351679919884,0.0260650093532221,0.008119986983612092,0.03639852046236465
deepgram,0.09816909656056111,0.026754526116742724,0.02287634464639544,0.04853822579742294
sortformer,0.24924537552217788,0.059675463801092773,0.13120063876263094,0.058369272958454156
pyannote,0.20957783320200088,0.15685955111300573,0.00878679620925385,0.04393148587974128
soniox,0.15278582074908198,0.03586642331680443,0.0006139109263226995,0.11630548650595485
reverb,0.20957783320200088,0.15685955111300573,0.00878679620925385,0.04393148587974128
cam,0.16728531418029657,0.02967576522028507,0.0405662251798212,0.09704332378019032
