model,Absolute DER,False Alarm Rate,Missed Detection Rate,Confusion Rate
assemblyai,0.126058510244866,0.06829770562508251,0.01667428721663259,0.041086517403150884
deepgram,0.14084759008844588,0.0658238648878903,0.032231455609141854,0.042792269591413745
sortformer,0.26775303793172667,0.08538228242468172,0.13847307891656782,0.04389767659047712
pyannote,0.21301983800454835,0.15641508606602966,0.01690587860805141,0.03969887333046725
soniox,0.19959485282343267,0.09649594635684276,0.0008034148335814649,0.10229549163300843
reverb,0.20233344200015418,0.14390537963825079,0.017156311738711332,0.04127175062319208
cam,0.19486142627881328,0.07290484680075107,0.047973205994667124,0.07398337348339509
