model,Absolute DER,False Alarm Rate,Missed Detection Rate,Confusion Rate
assemblyai,0.25454875800378335,0.15511879162035416,0.05279226403469502,0.046637702348734135
deepgram,0.2912057656281721,0.1449833079497617,0.07366442396245355,0.0725580337159568
sortformer,0.3957503902651317,0.14483582465031425,0.19581312773869833,0.05510143787611908
pyannote,0.3159808427475151,0.19552138732509028,0.04546662791514824,0.07499282750727657
soniox,0.42096029486612585,0.2595060278055898,0.002066532003681961,0.15938773505685408
reverb,0.3159808427475151,0.19552138732509028,0.04546662791514824,0.07499282750727657
cam,0.3450859980906995,0.16642823062077883,0.08511409795664465,0.09354366951327607
