model,Absolute DER (All Domain),Medical Absolute DER,Non-Medical Absolute DER
assemblyai,0.1272199270570725,0.25675573158451065,0.07099948681230549
cam,0.19576583784807705,0.34642780812501534,0.1675801817360494
deepgram,0.1420887092271779,0.2935097367254631,0.09863141915757337
pyannote,0.2130072527096545,0.3146209799002252,0.2096529529803301
reverb,0.20234734192707665,0.3146209799002252,0.2096529529803301
soniox,0.2004711879697987,0.42160355361127877,0.1530952593134347
sortformer,0.2682401479175839,0.39639247610997386,0.24945506841990425
